state,pollster,pop,vtype,method,begmm,begdd,begyy,endmm,enddd,endyy,trump,clinton,other,undecided,Begdate,Enddate,Middate
990,NE,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,57.0,39.0,,,,,
991,NE,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,48.0,32.0,0.0,20.0,,,
992,NE,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,57.0,39.0,,,,,
993,NE,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,59.0,37.0,,,,,
994,NE,Ipsos/Reuters,,Likely Voters,Internet,9,9,2016,9,29,2016,51.0,33.0,0.0,16.0,,,
995,NE,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,59.0,37.0,,,,,
996,NE,Ipsos/Reuters,,Likely Voters,Internet,9,2,2016,9,22,2016,54.0,31.0,0.0,15.0,,,
997,NE,Ipsos/Reuters,,Likely Voters,Internet,8,26,2016,9,15,2016,51.0,32.0,0.0,17.0,,,
998,NE,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,49.0,38.0,0.0,13.0,,,
999,NE,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,42.0,32.0,20.0,6.0,,,
1000,MT,MSU-Billings,,Adults,Live Phone,10,3,2016,10,10,2016,43.0,27.0,10.0,20.0,,,
1001,MT,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,55.0,41.0,,,,,
1002,MT,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,54.0,40.0,,,,,
1003,MT,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,57.0,39.0,,,,,
1004,MT,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,58.0,38.0,,,,,
1005,MT,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,51.0,38.0,-1.0,12.0,,,
1006,MT,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,44.0,31.0,18.0,7.0,,,
1007,HI,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,33.0,65.0,,,,,
1008,HI,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,32.0,64.0,,,,,
1009,HI,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,34.0,64.0,,,,,
1010,HI,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,33.0,64.0,,,,,
1011,HI,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,28.0,58.0,0.0,14.0,,,
1012,HI,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,25.0,51.0,15.0,9.0,,,
1013,AK,Craciun Research (D),,Likely Voters,Live Phone,10,21,2016,10,26,2016,43.0,47.0,,,,,
1014,AK,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,54.0,41.0,,,,,
1015,AK,Alaska Survey Research/Alaska Dispatch News,,Registered Voters,Live Phone,9,28,2016,10,2,2016,46.0,42.0,0.0,12.0,,,
1016,AK,Alaska Survey Research/Alaska Dispatch News,,Registered Voters,Live Phone,9,28,2016,10,2,2016,36.0,31.0,24.0,9.0,,,
1017,AK,Moore (R-Murkowski),,Likely Voters,Live Phone,10,5,2016,10,6,2016,37.0,34.0,16.0,13.0,,,
1018,AK,Moore (R-Murkowski),,Likely Voters,Live Phone,9,13,2016,9,15,2016,39.0,31.0,18.0,12.0,,,
1019,AK,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,53.0,41.0,,,,,
1020,AK,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,55.0,40.0,,,,,
1021,AK,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,55.0,40.0,,,,,
1022,AK,Moore (R-Murkowski),,Likely Voters,Live Phone,8,27,2016,8,29,2016,39.0,29.0,22.0,10.0,,,
1023,AK,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,47.0,39.0,0.0,14.0,,,
1024,AK,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,38.0,31.0,25.0,6.0,,,
1025,AL,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,57.0,38.0,,,,,
1026,AL,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,57.0,37.0,0.0,6.0,,,
1027,AL,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,56.0,38.0,,,,,
1028,AL,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,59.0,36.0,,,,,
1029,AL,Ipsos/Reuters,,Likely Voters,Internet,9,9,2016,9,29,2016,56.0,37.0,0.0,7.0,,,
1030,AL,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,58.0,36.0,,,,,
1031,AL,Ipsos/Reuters,,Likely Voters,Internet,9,2,2016,9,22,2016,53.0,39.0,0.0,8.0,,,
1032,AL,Ipsos/Reuters,,Likely Voters,Internet,8,26,2016,9,15,2016,53.0,40.0,0.0,7.0,,,
1033,AL,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,57.0,36.0,0.0,7.0,,,
1034,AL,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,53.0,31.0,11.0,5.0,,,
1035,OK,SoonerPoll.com,,Likely Voters,Live Phone/Online,10,18,2016,10,20,2016,60.0,30.0,4.0,6.0,,,
1036,OK,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,63.0,34.0,,,,,
1037,OK,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,53.0,33.0,0.0,14.0,,,
1038,OK,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,62.0,34.0,,,,,
1039,OK,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,65.0,32.0,,,,,
1040,OK,Ipsos/Reuters,,Likely Voters,Internet,9,9,2016,9,29,2016,54.0,31.0,0.0,15.0,,,
1041,OK,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,64.0,32.0,,,,,
1042,OK,Ipsos/Reuters,,Likely Voters,Internet,9,2,2016,9,22,2016,55.0,30.0,0.0,15.0,,,
1043,OK,Ipsos/Reuters,,Likely Voters,Internet,8,26,2016,9,15,2016,53.0,32.0,0.0,15.0,,,
1044,OK,SoonerPoll.com,,Likely Voters,Live Phone/Online,9,13,2016,9,15,2016,51.0,36.0,5.0,8.0,,,
1045,OK,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,57.0,33.0,0.0,10.0,,,
1046,OK,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,49.0,26.0,21.0,4.0,,,
1047,OK,SoonerPoll.com,,Likely Voters,Live Phone,7,20,2016,7,25,2016,53.0,29.0,7.0,11.0,,,
1048,DE,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,42.0,56.0,,,,,
1049,DE,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,41.0,55.0,,,,,
1050,DE,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,43.0,54.0,,,,,
1051,DE,University of Delaware/PSRAI,,Likely Voters,Live Phone,9,16,2016,9,28,2016,30.0,51.0,10.0,9.0,,,
1052,DE,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,42.0,54.0,,,,,
1053,DE,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,36.0,50.0,0.0,14.0,,,
1054,DE,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,33.0,43.0,16.0,8.0,,,
1055,DE,Fairleigh Dickinson/Delaware News Journal,,Registered Voters,Live Phone,7,20,2016,7,24,2016,32.0,42.0,22.0,4.0,,,
1056,VT,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,33.0,63.0,,,,,
1057,VT,Castleton University/VPR,,Likely Voters,Live Phone,9,29,2016,10,14,2016,17.0,45.0,34.0,4.0,,,
1058,VT,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,33.0,62.0,,,,,
1059,VT,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,35.0,61.0,,,,,
1060,VT,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,36.0,60.0,,,,,
1061,VT,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,28.0,56.0,0.0,16.0,,,
1062,VT,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,24.0,45.0,22.0,9.0,,,
1063,VT,Castleton University/VPR,,Likely Voters,Live Phone,7,11,2016,7,23,2016,17.0,39.0,39.0,5.0,,,
1064,NM,Albuquerque Journal/Research & Polling,,Likely Voters,Live Phone,11,1,2016,11,3,2016,40.0,45.0,13.0,2.0,,,
1065,NM,ZiaPoll,,Likely Voters,Mixed,11,1,2016,11,2,2016,43.0,46.0,10.0,1.0,,,
1066,NM,Lucid/The Times-Picayune,,Likely Voters,Internet,10,28,2016,11,1,2016,31.0,39.0,23.0,7.0,,,
1067,NM,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,44.0,51.0,,,,,
1068,NM,WashPost/SurveyMonkey,,Likely Voters,Internet,10,8,2016,10,16,2016,39.0,50.0,1.0,10.0,,,
1069,NM,WashPost/SurveyMonkey,,Likely Voters,Internet,10,8,2016,10,16,2016,33.0,41.0,24.0,2.0,,,
1070,NM,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,36.0,49.0,0.0,15.0,,,
1071,NM,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,43.0,51.0,,,,,
1072,NM,SurveyUSA/KOB-TV,,Likely Voters,IVR/Online,9,28,2016,10,2,2016,33.0,46.0,18.0,3.0,,,
1073,NM,Albuquerque Journal/Research & Polling,,Likely Voters,Live Phone,9,27,2016,9,29,2016,34.0,44.0,14.0,8.0,,,
1074,NM,Albuquerque Journal/Research & Polling,,Likely Voters,Live Phone,9,27,2016,9,29,2016,31.0,35.0,28.0,6.0,,,
1075,NM,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,45.0,50.0,,,,,
1076,NM,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,45.0,50.0,,,,,
1077,NM,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,37.0,51.0,-1.0,13.0,,,
1078,NM,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,29.0,37.0,30.0,4.0,,,
1079,NM,PPP (D)/NM Political Report,,Likely Voters,IVR/Online,8,19,2016,8,21,2016,31.0,40.0,20.0,9.0,,,
1080,NM,PPP (D)/NM Political Report,,Likely Voters,Automated Phone,5,13,2016,5,15,2016,33.0,41.0,14.0,12.0,,,
1081,ID,Rasmussen/Heat Street,,Likely Voters,IVR/Online,10,23,2016,10,24,2016,48.0,29.0,15.0,8.0,,,
1082,ID,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,60.0,34.0,,,,,
1083,ID,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,55.0,31.0,0.0,14.0,,,
1084,ID,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,60.0,34.0,,,,,
1085,ID,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,62.0,32.0,,,,,
1086,ID,Ipsos/Reuters,,Likely Voters,Internet,9,9,2016,9,29,2016,60.0,27.0,0.0,13.0,,,
1087,ID,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,61.0,33.0,,,,,
1088,ID,Ipsos/Reuters,,Likely Voters,Internet,9,2,2016,9,22,2016,55.0,32.0,0.0,13.0,,,
1089,ID,Ipsos/Reuters,,Likely Voters,Internet,8,26,2016,9,15,2016,56.0,32.0,0.0,12.0,,,
1090,ID,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,53.0,34.0,0.0,13.0,,,
1091,ID,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,44.0,25.0,25.0,6.0,,,
1092,ID,Dan Jones & Associates/IdahoPoliticsWeekly.com,,Likely Voters,Live Phone,7,5,2016,7,16,2016,44.0,23.0,26.0,7.0,,,
1093,AR,U of Arkansas,,Likely Voters,Live Phone,10,18,2016,10,25,2016,51.0,31.0,0.0,18.0,,,
1094,AR,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,58.0,37.0,,,,,
1095,AR,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,53.0,38.0,0.0,9.0,,,
1096,AR,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,56.0,37.0,,,,,
1097,AR,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,59.0,36.0,,,,,
1098,AR,Ipsos/Reuters,,Likely Voters,Internet,9,9,2016,9,29,2016,50.0,41.0,0.0,9.0,,,
1099,AR,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,58.0,36.0,,,,,
1100,AR,Ipsos/Reuters,,Likely Voters,Internet,9,2,2016,9,22,2016,49.0,41.0,0.0,10.0,,,
1101,AR,Ipsos/Reuters,,Likely Voters,Internet,8,26,2016,9,15,2016,51.0,41.0,0.0,8.0,,,
1102,AR,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,54.0,41.0,0.0,5.0,,,
1103,AR,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,46.0,37.0,13.0,4.0,,,
1104,AR,Hendrix College/Talk Business,,Registered Voters,Automated Phone,6,21,2016,6,21,2016,47.0,36.0,8.0,9.0,,,
1105,ME,MPRC,,Likely Voters,IVR/Online,10,24,2016,10,26,2016,40.0,47.0,0.0,13.0,,,
1106,ME,MPRC,,Likely Voters,IVR/Online,10,24,2016,10,26,2016,37.0,42.0,12.0,9.0,,,
1107,ME,UNH/Portland Press Herald/Maine Sunday Telegram,,Likely Voters,Live Phone,10,20,2016,10,25,2016,37.0,48.0,12.0,3.0,,,
1108,ME,MPRC,,Likely Voters,IVR/Online,10,14,2016,10,15,2016,39.0,49.0,0.0,12.0,,,
1109,ME,MPRC,,Likely Voters,IVR/Online,10,14,2016,10,15,2016,36.0,42.0,13.0,9.0,,,
1110,ME,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,42.0,55.0,,,,,
1111,ME,MPRC,,Likely Voters,IVR/Online,10,7,2016,10,9,2016,40.0,49.0,0.0,11.0,,,
1112,ME,MPRC,,Likely Voters,IVR/Online,10,7,2016,10,9,2016,36.0,44.0,12.0,8.0,,,
1113,ME,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,33.0,46.0,0.0,21.0,,,
1114,ME,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,41.0,55.0,,,,,
1115,ME,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,43.0,54.0,,,,,
1116,ME,Ipsos/Reuters,,Likely Voters,Internet,9,9,2016,9,29,2016,34.0,45.0,0.0,21.0,,,
1117,ME,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,43.0,54.0,,,,,
1118,ME,Ipsos/Reuters,,Likely Voters,Internet,9,2,2016,9,22,2016,38.0,40.0,0.0,22.0,,,
1119,ME,UNH/Portland Press Herald/Maine Sunday Telegram,,Likely Voters,Live Phone,9,15,2016,9,21,2016,37.0,42.0,16.0,5.0,,,
1120,ME,UNH/Portland Press Herald/Maine Sunday Telegram,,Likely Voters,Live Phone,9,15,2016,9,21,2016,36.0,40.0,17.0,7.0,,,
1121,ME,MPRC,,Likely Voters,IVR/Online,9,15,2016,9,17,2016,40.0,45.0,0.0,15.0,,,
1122,ME,MPRC,,Likely Voters,IVR/Online,9,15,2016,9,17,2016,37.0,37.0,15.0,11.0,,,
1123,ME,Ipsos/Reuters,,Likely Voters,Internet,8,26,2016,9,15,2016,40.0,41.0,0.0,19.0,,,
1124,ME,SurveyUSA/Boston Globe/Colby College,,Likely Voters,IVR/Online,9,4,2016,9,10,2016,39.0,42.0,14.0,5.0,,,
1125,ME,MPRC,,Likely Voters,IVR/Online,8,17,2016,8,20,2016,32.0,42.0,13.0,13.0,,,
1126,ME,MPRC,,Likely Voters,IVR/Online,8,17,2016,8,20,2016,37.0,48.0,0.0,15.0,,,
1127,ME,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,39.0,47.0,0.0,14.0,,,
1128,ME,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,34.0,37.0,22.0,7.0,,,
1129,ME,Gravis Marketing,,Registered Voters,IVR/Online,8,4,2016,8,8,2016,36.0,46.0,,,,,
1130,ME,Gravis Marketing,,Registered Voters,IVR/Online,8,4,2016,8,8,2016,33.0,43.0,,,,,
1131,ME,UNH/Portland Press Herald/Maine Sunday Telegram,,Likely Voters,Live Phone,6,15,2016,6,21,2016,35.0,42.0,19.0,4.0,,,
1132,WA,Insights West,,Likely Voters,Internet,11,4,2016,11,6,2016,36.0,51.0,6.0,7.0,,,
1133,WA,SurveyUSA,,Likely Voters,IVR/Online,10,31,2016,11,2,2016,38.0,50.0,8.0,4.0,,,
1134,WA,KCTS 9/Crosscut/Washington,,Likely Voters,Internet,10,6,2016,10,13,2016,39.0,53.0,0.0,8.0,,,
1135,WA,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,42.0,54.0,,,,,
1136,WA,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,33.0,51.0,0.0,16.0,,,
1137,WA,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,42.0,53.0,,,,,
1138,WA,Strategies 360 (D- KOMO News),,Likely Voters,Live Phone,9,29,2016,10,3,2016,33.0,50.0,13.0,4.0,,,
1139,WA,Strategies 360 (D- KOMO News),,Likely Voters,Live Phone,9,29,2016,10,3,2016,31.0,47.0,16.0,6.0,,,
1140,WA,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,44.0,52.0,,,,,
1141,WA,Ipsos/Reuters,,Likely Voters,Internet,9,9,2016,9,29,2016,35.0,49.0,0.0,16.0,,,
1142,WA,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,43.0,52.0,,,,,
1143,WA,Ipsos/Reuters,,Likely Voters,Internet,9,2,2016,9,22,2016,35.0,49.0,0.0,16.0,,,
1144,WA,Insights West,,Likely Voters,Internet,9,12,2016,9,14,2016,28.0,38.0,20.0,14.0,,,
1145,WA,Ipsos/Reuters,,Likely Voters,Internet,8,26,2016,9,15,2016,37.0,47.0,0.0,16.0,,,
1146,WA,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,37.0,53.0,0.0,10.0,,,
1147,WA,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,31.0,41.0,23.0,5.0,,,
1148,WA,Elway,,Registered Voters,Live Phone,8,9,2016,8,13,2016,24.0,43.0,17.0,16.0,,,
1149,WA,PPP (D-Northwest Progressive Institute),,Likely Voters,Automated Phone,6,14,2016,6,15,2016,37.0,49.0,1.0,13.0,,,
1150,IN,Gravis Marketing,,Registered Voters,Internet,10,30,2016,11,1,2016,49.0,39.0,3.0,9.0,,,
1151,IN,Monmouth University,,Likely Voters,Live Phone,10,27,2016,10,30,2016,50.0,39.0,6.0,5.0,,,
1152,IN,Gravis Marketing,,Registered Voters,Internet,10,22,2016,10,24,2016,49.0,38.0,5.0,8.0,,,
1153,IN,WISH-TV/Ball State ,,Likely Voters,Live Phone,10,10,2016,10,16,2016,43.0,37.0,18.0,2.0,,,
1154,IN,WISH-TV/Ball State ,,Likely Voters,Live Phone,10,10,2016,10,16,2016,47.0,41.0,6.0,6.0,,,
1155,IN,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,53.0,43.0,,,,,
1156,IN,Lucid/The Times-Picayune,,Likely Voters,Internet,10,7,2016,10,10,2016,43.0,37.0,13.0,7.0,,,
1157,IN,Monmouth University,,Likely Voters,Live Phone,10,11,2016,10,13,2016,45.0,41.0,9.0,5.0,,,
1158,IN,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,50.0,37.0,0.0,13.0,,,
1159,IN,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,52.0,43.0,,,,,
1160,IN,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,55.0,41.0,,,,,
1161,IN,Ipsos/Reuters,,Likely Voters,Internet,9,9,2016,9,29,2016,53.0,36.0,0.0,11.0,,,
1162,IN,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,54.0,41.0,,,,,
1163,IN,Ipsos/Reuters,,Likely Voters,Internet,9,2,2016,9,22,2016,54.0,35.0,0.0,11.0,,,
1164,IN,Ipsos/Reuters,,Likely Voters,Internet,8,26,2016,9,15,2016,53.0,33.0,0.0,14.0,,,
1165,IN,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,52.0,37.0,0.0,11.0,,,
1166,IN,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,46.0,30.0,18.0,6.0,,,
1167,IN,Monmouth University,,Likely Voters,Live Phone,8,13,2016,8,16,2016,47.0,36.0,12.0,5.0,,,
1168,IN,POS (R)/HPI/WTHR,,Likely Voters,Live Phone,4,18,2016,4,21,2016,47.0,39.0,0.0,14.0,,,
1169,IN,NBC/WSJ/Marist,,Registered Voters,Live Phone,4,26,2016,4,28,2016,48.0,41.0,0.0,11.0,,,
1170,TN,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,56.0,39.0,,,,,
1171,TN,ICITIZEN,,Registered Voters,Internet,10,14,2016,10,17,2016,44.0,34.0,14.0,8.0,,,
1172,TN,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,49.0,34.0,0.0,17.0,,,
1173,TN,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,55.0,39.0,,,,,
1174,TN,Vanderbit/PSRA,,Registered Voters,Live Phone,9,19,2016,10,2,2016,44.0,33.0,20.0,3.0,,,
1175,TN,MTSU,,Likely Voters,Live Phone,9,28,2016,10,2,2016,48.0,36.0,14.0,2.0,,,
1176,TN,MTSU,,Likely Voters,Live Phone,9,28,2016,10,2,2016,50.0,40.0,9.0,1.0,,,
1177,TN,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,57.0,38.0,,,,,
1178,TN,Ipsos/Reuters,,Likely Voters,Internet,9,9,2016,9,29,2016,47.0,35.0,0.0,18.0,,,
1179,TN,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,57.0,38.0,,,,,
1180,TN,Ipsos/Reuters,,Likely Voters,Internet,9,2,2016,9,22,2016,47.0,33.0,0.0,20.0,,,
1181,TN,Ipsos/Reuters,,Likely Voters,Internet,8,26,2016,9,15,2016,50.0,26.0,0.0,24.0,,,
1182,TN,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,55.0,37.0,0.0,8.0,,,
1183,TN,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,51.0,31.0,13.0,5.0,,,
1184,TN,ICITIZEN,,Registered Voters,Internet,7,25,2016,7,27,2016,49.0,33.0,0.0,18.0,,,
1185,TN,ICITIZEN,,Registered Voters,Internet,7,25,2016,7,27,2016,46.0,29.0,14.0,11.0,,,
1186,TN,Vanderbit/PSRA,,Registered Voters,Live Phone,4,25,2016,5,11,2016,44.0,35.0,20.0,1.0,,,
1187,OR,DHM Research/Fox 12,,Likely Voters,Live Phone,10,25,2016,10,29,2016,34.0,41.0,14.0,11.0,,,
1188,OR,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,43.0,51.0,,,,,
1189,OR,Riley Research/KGW/The Oregonian,,Likely Voters,Live Phone,10,4,2016,10,14,2016,36.0,46.0,14.0,4.0,,,
1190,OR,DHM Research/Oregon Public Broadcasting,,Likely Voters,Live Phone,10,6,2016,10,13,2016,36.0,43.0,16.0,5.0,,,
1191,OR,SurveyUSA/KATU-TV,,Likely Voters,IVR/Online,10,10,2016,10,12,2016,38.0,48.0,9.0,5.0,,,
1192,OR,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,36.0,51.0,0.0,13.0,,,
1193,OR,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,43.0,51.0,,,,,
1194,OR,Gravis Marketing/Breitbart,,Registered Voters,IVR/Online,10,4,2016,10,4,2016,39.0,47.0,6.0,8.0,,,
1195,OR,Hoffman Research (R),,Likely Voters,Live Phone,9,29,2016,10,1,2016,33.0,45.0,11.0,11.0,,,
1196,OR,UPI/CVOTER,,Likely Voters,Internet,9,19,2016,10,2,2016,45.0,50.0,,,,,
1197,OR,Ipsos/Reuters,,Likely Voters,Internet,9,9,2016,9,29,2016,38.0,48.0,0.0,14.0,,,
1198,OR,UPI/CVOTER,,Likely Voters,Internet,9,12,2016,9,25,2016,44.0,51.0,,,,,
1199,OR,Ipsos/Reuters,,Likely Voters,Internet,9,2,2016,9,22,2016,41.0,44.0,0.0,15.0,,,
1200,OR,Ipsos/Reuters,,Likely Voters,Internet,8,26,2016,9,15,2016,41.0,44.0,0.0,15.0,,,
1201,OR,ICITIZEN,,Registered Voters,Internet,9,2,2016,9,7,2016,28.0,43.0,21.0,8.0,,,
1202,OR,DHM,,Registered Voters,Live Phone,9,1,2016,9,6,2016,25.0,38.0,22.0,15.0,,,
1203,OR,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,36.0,55.0,0.0,9.0,,,
1204,OR,WashPost/SurveyMonkey,,Registered Voters,Internet,8,9,2016,9,1,2016,32.0,47.0,18.0,3.0,,,
1205,OR,Clout Research (R),,Likely Voters,Live Phone,7,9,2016,7,13,2016,40.0,43.0,9.0,8.0,,,
1206,OR,ICITIZEN,,Registered Voters,Internet,6,23,2016,6,27,2016,32.0,46.0,0.0,22.0,,,
1207,OR,Clout Research (R),,Likely Voters,Live Phone,5,10,2016,5,13,2016,44.0,42.0,1.0,13.0,,,
1208,OR,DHM Research/Oregon Public Broadcasting/Fox 12,,Likely Voters,Live Phone,5,6,2016,5,9,2016,32.0,43.0,21.0,4.0,,,
1209,NJ,Stockton,,Likely Voters,Live Phone,10,27,2016,11,2,2016,40.0,51.0,7.0,2.0,,,
1210,NJ,UPI/CVOTER,,Likely Voters,Internet,10,9,2016,10,16,2016,39.0,57.0,,,,,
1211,NJ,Fairleigh Dickinson,,Likely Voters,Live Phone,10,12,2016,10,16,2016,40.0,51.0,8.0,1.0,,,
1212,NJ,Fairleigh Dickinson,,Likely Voters,Live Phone,10,12,2016,10,16,2016,35.0,49.0,15.0,1.0,,,
1213,NJ,Rutgers-Eagleton,,Registered Voters,Live Phone,9,6,2016,9,10,2016,29.0,50.0,16.0,5.0,,,
1214,NJ,Rutgers-Eagleton,,Registered Voters,Live Phone,9,6,2016,9,10,2016,35.0,59.0,5.0,1.0,,,
1215,NJ,Ipsos/Reuters,,Likely Voters,Internet,9,16,2016,10,6,2016,34.0,49.0,0.0,17.0,,,
1216,NJ,UPI/CVOTER,,Likely Voters,Internet,10,2,2016,10,9,2016,39.0,57.0,,,,,
